"","name","pubpriv","reported"
"429","O. S. HUBBARD ELEMENTARY","PUBLIC","Y"
"430","SAN ANTONIO ELEMENTARY","PUBLIC","Y"
"431","SYLVIA CASSELL ELEMENTARY","PUBLIC","Y"
"432","THOMAS P. RYAN ELEMENTARY","PUBLIC","Y"
"433","ALVIEW ELEMENTARY","PUBLIC","Y"
"434","ALVINA ELEMENTARY CHARTER","PUBLIC","Y"
"435","PHILLIP M. STOKOE ELEMENTARY","PUBLIC","Y"
"436","LAKE HILLS ELEMENTARY","PUBLIC","Y"
"437","ALLAN ORRENMAA ELEMENTARY","PUBLIC","Y"
"438","ARLANZA ELEMENTARY","PUBLIC","Y"
"439","COLLETT ELEMENTARY","PUBLIC","Y"
